"10176","Babb-Sprague Kristen","W","USA","Synchronized Swimming"
"10177","Babii Sorin","M","ROU","Shooting"
"10178","Bach Bjorn","M","GER","Kayak"
"10179","Backegren Anders","M","SWE","Handball"
"10180","Backley Steve","M","GBR","Athletics"
"10181","Bada Sunday","M","NGR","Athletics"
"10182","Bade Lance","M","USA","Shooting"
"10183","Badea Laura","W","ROU","Fencing"
"10184","Badiou Franck","M","FRA","Shooting"
"10185","Bagach Oleksandr","M","UKR","Athletics"
"10186","Bagdasarov Armen","M","UZB","Judo"
"10187","Bahari Mohamed","M","ALG","Boxing"
"10188","Bahr Gunnar","M","GER","Sailing"
"10189","Bailey Donovan","M","CAN","Athletics"
"10190","Bairamukov Islam","M","KAZ","Wrestling"
"10191","Bajor Marek","M","POL","Football"
"10192","Baker Vin","M","USA","Basketball"
"10193","Bakogianni Niki","W","GRE","Athletics"
"10194","Balachov Roman","M","RUS","Water Polo"
"10195","Balado Mendez Roberto","M","CUB","Boxing"
"10196","Balceiro Ledys Frank","M","CUB","Canoe"
"10197","Baldo Marta","W","ESP","Gymnastics"
"10198","Baldus Brita Pia","W","GER","Diving"
"10199","Balic Maro","M","CRO","Water Polo"
"10200","Balkenhol Klaus","M","USA","Equestrian"
"10201","Ballanger Felicia","W","FRA","Cycling"
"10202","Ballart Daniel","M","ESP","Water Polo"
"10203","Ballester Jose Luis","M","ESP","Sailing"
"10204","Balmforth Darren","M","AUS","Rowing"
"10205","Balogh Beatrix","W","HUN","Handball"
"10206","Balogh Gabor","M","HUN","Modern Pentathlon"
"10207","Balz Heiko","M","GER","Wrestling"
"10208","Bang Soo Hyun","W","KOR","Badminton"
"10209","Bank Jesper","M","DEN","Sailing"
"10210","Baranova Elena","W","EUN","Basketball"
"10211","Baraszkiewicz Pawel","M","POL","Canoe"
"10212","Barathay Samuel","M","FRA","Rowing"
"10213","Barbachinski Andrei","M","EUN","Handball"
"10214","Barber Darren","M","CAN","Rowing"
"10215","Bardet Anne-Lise","W","FRA","Kayak"
"10216","Bardosi Sandor Istvan","M","HUN","Wrestling"
"10217","Barea Maria Carmen","W","ESP","Hockey"
"10218","Barker Ian","M","GBR","Sailing"
"10219","Barkley Charles","M","USA","Basketball"
"10220","Barlois Valerie","W","FRA","Fencing"
"10221","Barnes Jennifer Kirsten","W","CAN","Rowing"
"10222","Barnes Randy","M","USA","Athletics"
"10223","Barrena Oscar","M","ESP","Hockey"
"10224","Barreto Nuno","M","POR","Sailing"
"10225","Barrio Sonia","W","ESP","Hockey"
"10226","Barros Leila","W","BRA","Volleyball"
"10227","Barros Zoila","W","CUB","Volleyball"
"10228","Barrowman Mike","M","USA","Swimming"
"10229","Barrufet David","M","ESP","Handball"
"10230","Barsukova Yulia","W","RUS","Gymnastics"
"10231","Bartels-De Vries Tineke","W","NED","Equestrian"
"10232","Bartfai Krisztian","M","HUN","Kayak"
"10233","Bartko Robert","M","GER","Cycling"
"10234","Bartman Michiel","M","NED","Rowing"
"10235","Bartnik Wojciech","M","POL","Boxing"
"10236","Barton Greg","M","USA","Canoe"
"10237","Barton Jim","M","USA","Sailing"
"10238","Barzakov Serafim","M","BUL","Wrestling"
"10239","Basar Hakki","M","TUR","Wrestling"
"10240","Bashkatov Yuri","M","EUN","Swimming"
"10241","Basinsky Igor","M","BLR","Shooting"
"10242","Bassedas Christian Gustavo","M","ARG","Football"
"10243","Bates Michael","M","USA","Athletics"
"10244","Batez Vladimir","M","YUG","Volleyball"
"10245","Batrychinko Lanina","W","RUS","Gymnastics"
"10246","Batten Guin","W","GBR","Rowing"
"10247","Batten Kim","W","USA","Athletics"
"10248","Batten Miriam","W","GBR","Rowing"
"10249","Battistelli Stefano","M","ITA","Swimming"
"10250","Bau Sabine","W","GER","Fencing"
"10251","Bauer Dennis","M","GER","Fencing"
"10252","Baulch Jamie","M","GBR","Athletics"
"10253","Baumann Dieter","M","GER","Athletics"
"10254","Baumann Matthias Andreas","M","GER","Equestrian"
"10255","Baumer Daniela","W","SUI","Kayak"
"10256","Baumgartner Bruce","M","USA","Wrestling"
"10257","Bayarsaikhan Namjil","M","MGL","Boxing"
"10258","Bayisa Fita","M","ETH","Athletics"
"10259","Bayliss Lisa","W","GBR","Hockey"
"10260","Bazon Adriana","W","ROU","Rowing"
"10261","Bea Sebastian","M","USA","Rowing"
"10262","Beard Amanda","W","USA","Swimming"
"10263","Beashel Colin","M","AUS","Sailing"
"10264","Beaud Clement","M","CMR","Football"
"10265","Beaumont Lyne","W","CAN","Synchronized Swimming"
"10266","Beauregard Robin","W","USA","Water Polo"
"10267","Bebechko Serguei","M","EUN","Handball"
"10268","Becerra Cheri","M","USA","Athletics"
"10269","Hager Mark","M","AUS","Hockey"
"10270","Becke Daniel","M","GER","Cycling"
"10271","Becker Andreas","M","GER","Hockey"
"10272","Becker Boris Franz","M","GER","Tennis"
"10273","Becker Britta","W","GER","Hockey"
"10274","Becker Nick Adrian","M","USA","Volleyball"
"10275","Becker Otto","M","GER","Equestrian"
"10276","Becker Thomas","M","GER","Kayak"
"10277","Becker-Dey Courtenay","W","USA","Sailing"
"10278","Beckford James","M","JAM","Athletics"
"10279","Bede Shelda","W","BRA","Volleyball"
"10280","Bedford B J","W","USA","Swimming"
"10281","Beek Ter Carin","W","NED","Rowing"
"10282","Beerbaum Ludger","M","GER","Equestrian"
"10283","Behar Adriana","W","BRA","Volleyball"
"10284","Behm Andreas","M","GER","Weightlifting"
"10285","Bejarano Benitez Cristian","M","MEX","Boxing"
"10286","Beketov Aleksandr","M","RUS","Fencing"
"10287","Bekken Fredrik Raaen","M","NOR","Rowing"
"10288","Bekkevold Kristin","W","NOR","Football"
"10289","Bekono Daniel","M","CMR","Football"
"10290","Belan Tatyana","W","BLR","Gymnastics"
"10291","Belenki Valeri","M","EUN","Gymnastics"
"10292","Belikova Anastassia","W","RUS","Volleyball"
"10293","Bell Regla","W","CUB","Volleyball"
"10294","Bell Teresa Z.","W","USA","Rowing"
"10295","Choppy Baeden","M","AUS","Hockey"
"10296","Bellutti Antonella","W","ITA","Cycling"
"10297","Belofastov Andrei","M","EUN","Water Polo"
"10298","Belova Irina","W","EUN","Athletics"
"10299","Beltran Dayma","W","CUB","Judo"
"10300","Belyayev Sergey","M","KAZ","Shooting"
"10301","Benboudaoud Larbi","M","FRA","Judo"
"10302","Bencivenga Fabio","M","ITA","Water Polo"
"10303","Benedek Tibor","M","HUN","Water Polo"
"10304","Benelli Andrea","M","ITA","Shooting"
"10305","Benko Lindsay","W","USA","Swimming"
"10306","Benne Edwin","M","NED","Volleyball"
"10307","Bennett Brooke","W","USA","Swimming"
"10308","Bent Neisser","M","CUB","Swimming"
"10309","Bereket Adem","M","TUR","Wrestling"
"10310","Beres Zoltan","M","HUN","Boxing"
"10311","Beresh Oleksandr","M","UKR","Gymnastics"
"10312","Berg Laura","W","USA","Softball"
"10313","Berges Rafael","M","ESP","Football"
"10314","Bergqvist Kajsa","W","SWE","Athletics"
"10315","Beric Miroslav","M","YUG","Basketball"
"10316","Berkoff David C.","M","USA","Swimming"
"10317","Bernardi Lorenzo","M","ITA","Volleyball"
"10318","Berube Ryan","M","USA","Swimming"
"10319","Bestall John","M","AUS","Hockey"
"10320","Betancourt Scull Guillermo","M","CUB","Fencing"
"10321","Bette Jean-Christophe","M","FRA","Rowing"
"10322","Beyleroglu Malik","M","TUR","Boxing"
"10323","Bialkowski Dariusz","M","POL","Kayak"
"10324","Bianchedi Diana","W","ITA","Fencing"
"10325","Bianco Suzannah","W","USA","Synchronized Swimming"
"10326","Bidounae Nouzha","W","MAR","Athletics"
"10327","Biesenthal Laryssa","W","CAN","Rowing"
"10328","Bikcin Hamide","W","TUR","Taekwondo"
"10329","Bilba Jim","M","FRA","Basketball"
"10330","Bin Fan","M","CHN","Gymnastics"
"10331","Bin Lu","W","CHN","Swimming"
"10332","Binder Aranka","W","IOP","Shooting"
"10333","Biondi Matthew","M","USA","Swimming"
"10334","Bird Larry","M","USA","Basketball"
"10335","Birir Mathew","M","KEN","Athletics"
"10336","Birmingham Warren","M","AUS","Hockey"
"10337","Biros Peter","M","HUN","Water Polo"
"10338","Bisiani Matteo","M","ITA","Archery"
"10339","Bissdorf Ralf","M","GER","Fencing"
"10340","Bitok Paul","M","KEN","Athletics"
"10341","Bjerkrheim Susann Goksoer","W","NOR","Handball"
"10342","Bjoness Lars","M","NOR","Rowing"
"10343","Black Roger","M","GBR","Athletics"
"10344","Blackburn Michael","M","AUS","Sailing"
"10345","Blackwood Michael","M","JAM","Athletics"
"10346","Blakskjaer Henrik","M","DEN","Sailing"
"10347","Blange Peter","M","NED","Volleyball"
"10348","Blanik Leszek","M","POL","Gymnastics"
"10349","Blanton Dain","M","USA","Volleyball"
"10350","Blasberg Claudia","W","GER","Rowing"
"10351","Blasco Soto Miriam","W","ESP","Judo"
"10352","Blatter Barbara","W","SUI","Cycling"
"10353","Blinks Susan","W","USA","Equestrian"
"10354","Blocker Herbert","M","GER","Equestrian"
"10355","Bluhm Kay","M","GER","Kayak"
"10356","Blunck Christian","M","GER","Hockey"
"10357","Boardman Chris","M","GBR","Cycling"
"10358","Boboc Loredana","W","ROU","Gymnastics"
"10359","Bodimeade Lee","M","AUS","Hockey"
"10360","Bodiroga Dejan","M","YUG","Basketball"
"10361","Bodzick Ericleia","W","BRA","Volleyball"
"10362","Boe Jensen Christine","W","NOR","Football"
"10363","Boevski Galabin","M","BUL","Weightlifting"
"10364","Bogdanova Svetlana","W","EUN","Handball"
"10365","Bogiyev Vadim","M","RUS","Wrestling"
"10366","Bogoslovskaya Olga","W","EUN","Athletics"
"10367","Boguinskaia Svetlana","W","EUN","Gymnastics"
"10368","Bohrer Thomas Robert","M","USA","Rowing"
"10369","Boidin Franck","M","FRA","Fencing"
"10370","Boivin Olivier","M","FRA","Canoe"
"10371","Bojilov Daniel Petrov","M","BUL","Boxing"
"10372","Bojsen Moller Jorgen","M","DEN","Sailing"
"10373","Bojsen-Moeller Jens","M","DEN","Sailing"
"10374","Boldon Ato","M","TRI","Athletics"
"10375","Bolton Ruthie","W","USA","Basketball"
"10376","Bolton-Holifield Ruthie","W","USA","Basketball"
"10377","Bomprezzi Roberto","M","ITA","Modern pentathlon"
"10378","Bonato Yann","M","FRA","Basketball"
"10379","Bondarenko Alexey","M","RUS","Gymnastics"
"10380","Bonomi Beniamino","M","ITA","Kayak"
"10381","Bontas Cristina","W","ROU","Gymnastics"
"10382","Bontje Ellen","W","NED","Equestrian"
"10383","Boogert Kristie","W","NED","Tennis"
"10384","Booij Minke","W","NED","Hockey"
"10385","Boomgaardt Ageeth","W","NED","Hockey"
"10386","Boor Boris","M","AUT","Equestrian"
"10387","Booth Mitchell","M","AUS","Sailing"
"10388","Boquist Martin","M","SWE","Handball"
"10389","Boraska Igor","M","CRO","Rowing"
"10390","Borchert Katrin","W","AUS","Kayak"
"10391","Borders Pat","M","USA","Baseball"
"10392","Borges Gustavo","M","BRA","Swimming"
"10393","Borkowski Ingo","M","GER","Sailing"
"10394","Boron Kathrin","W","GER","Rowing"
"10395","Borrmann Elmar","M","GER","Fencing"
"10396","Borsan Antonel","M","ROU","Canoe"
"10397","Bortolozzi Borella Francesca","W","ITA","Fencing"
"10398","Borzenkova Galina","W","EUN","Handball"
"10399","Boskan Slobodan","M","YUG","Volleyball"
"10400","Bosquet Gilles","M","FRA","Rowing"
"10401","Bosshart Dominique","W","CAN","Taekwondo"
"10402","Bossio Carlos Gustavo","M","ARG","Football"
"10403","Botchkareva Evguenia","W","RUS","Gymnastics"
"10404","Botev Stefan","M","AUS","Weightlifting"
"10405","Botsford Beth","W","USA","Swimming"
"10406","Bottzau Tina","W","DEN","Handball"
"10407","Boudrie Ronald","M","NED","Volleyball"
"10408","Boulami Khalid","M","MAR","Athletics"
"10409","Boulmerka Hassiba","W","ALG","Athletics"
"10410","Bounatiants E.","W","EUN","Basketball"
"10411","Bouras Djamel","M","FRA","Judo"
"10412","Bourdow Stephen","M","USA","Sailing"
"10413","Bourdy Hubert","M","FRA","Equestrian"
"10414","Boussard Herve","M","FRA","Cycling"
"10415","Bovelander Floris Jan","M","NED","Hockey"
"10416","Bovo Alessandro","M","ITA","Water Polo"
"10417","Bovolenta Vigor","M","ITA","Volleyball"
"10418","Boxx Gillian","W","USA","Softball"
"10419","Boyd Carla","W","AUS","Basketball"
"10420","Boyes David","M","CAN","Rowing"
"10421","Brabants Tim","M","GBR","Kayak"
"10422","Bracci Marco","M","ITA","Volleyball"
"10423","Bradtke Nicole Anne Louise","W","AUS","Tennis"
"10424","Brady James","M","USA","Sailing"
"10425","Brakewell Jeanette","W","GBR","Equestrian"
"10426","Branco Serge","M","CMR","Football"
"10427","Brandebusemeyer Nicole","W","GER","Football"
"10428","Brands Terry","M","USA","Wrestling"
"10429","Brands Tom","M","USA","Wrestling"
"10430","Braslavets Yevhen","M","UKR","Sailing"
"10431","Braun Sabine","W","GER","Athletics"
"10432","Brazdauskis R.","M","LTU","Basketball"
"10433","Brdjovic Dejan","M","YUG","Volleyball"
"10434","Bredael Annelies","W","BEL","Rowing"
"10435","Bremner Janice","W","CAN","Synchronized Swimming"
"10436","Brennan Michael","M","AUS","Hockey"
"10437","Brentjens Bart","M","NED","Cycling"
"10438","Breuer Grit","W","GER","Athletics"
"10439","Briceno Carlos Martin","M","USA","Volleyball"
"10440","Bridgewater Brad","M","USA","Swimming"
"10441","Brinkman Jacques","M","NED","Hockey"
"10442","Brito Jorge Edson","M","BRA","Volleyball"
"10443","Broad Neil","M","GBR","Tennis"
"10444","Broedsgaard Karen","W","DEN","Handball"
"10445","Brogan Michelle","W","AUS","Basketball"
"10446","Brondello Sandy","W","AUS","Basketball"
"10447","Broniewski Kajetan","M","POL","Rowing"
"10448","Brouletova Lioubov","W","RUS","Judo"
"10449","Brown Joanne","W","AUS","Softball"
"10450","Brown Karen","W","GBR","Hockey"
"10451","Bruce Wendy","W","USA","Gymnastics"
"10452","Brudel Ralf","M","GER","Rowing"
"10453","Bruguera Sergi","M","ESP","Tennis"
"10454","Brundage Jennifer","W","USA","Softball"
"10455","Brunet Caroline","W","CAN","Kayak"
"10456","Brunet Roberta","W","ITA","Athletics"
"10457","Brusnikina Olga","W","RUS","Synchronized Swimming"
"10458","Bryzgina Olga","W","EUN","Athletics"
"10459","Brzeczek Jerzy","M","POL","Football"
"10460","Budolin Aleksei","M","EST","Judo"
"10461","Buford-Bailey Tonja","W","USA","Athletics"
"10462","Bujdoso Imre","M","HUN","Fencing"
"10463","Bukhalov Nikolai Petkov","M","BUL","Canoe"
"10464","Bukic Perica","M","CRO","Water Polo"
"10465","Bukovec Brigita","W","SLO","Athletics"
"10466","Bulie Iulia","W","ROU","Rowing"
"10467","Bullett Vicky","W","USA","Basketball"
"10468","Bullmann Maik","M","GER","Wrestling"
"10469","Buma Jaap Derk","M","NED","Hockey"
"10470","Bundock Darren","M","AUS","Sailing"
"10471","Burcica Constanta","W","ROU","Rowing"
"10472","Burden William Douglas","M","USA","Rowing"
"10473","Burdeyna Nataliya","W","UKR","Archery"
"10474","Burgess Gregory S.","M","USA","Swimming"
"10475","Burgess Simon","M","AUS","Rowing"
"10476","Burke Daniel","M","AUS","Rowing"
"10477","Burnham Kevin","M","USA","Sailing"
"10478","Burns Lauren","W","AUS","Taekwondo"
"10479","Burns Lindsay","W","USA","Rowing"
"10480","Burrell Leroy","M","USA","Athletics"
"10481","Burr-Howard Leslie","W","USA","Equestrian"
"10482","Burroughs Sean","M","USA","Baseball"
"10483","Buschschulte Antje","W","GER","Swimming"
"10484","Busemann Frank","M","GER","Athletics"
"10485","Buslovych Yevgen","M","UKR","Wrestling"
"10486","Bustos Crystl","W","USA","Softball"
"10487","Byrd Chris C.","M","USA","Boxing"
"10488","Cabanillas Nuria","W","ESP","Gymnastics"
"10489","Cacho Fermin","M","ESP","Athletics"
"10490","Cacho Ruiz Fermin","M","ESP","Athletics"
"10491","Cai Huijue","W","CHN","Swimming"
"10492","Cai Yalin","M","CHN","Shooting"
